iter	RMSE
0	4496.052349
1	4369.092294
2	4222.914983
3	4094.55264
4	3998.819175
5	3885.037417
6	3788.673964
7	3685.769382
8	3590.043999
9	3497.09624
10	3408.488088
11	3336.074483
12	3276.4891
13	3206.666906
14	3139.548701
15	3078.971172
16	3032.930509
17	2992.78173
18	2957.597096
19	2921.423395
20	2888.356294
21	2842.877121
22	2811.050331
23	2775.580761
24	2741.323947
25	2708.148867
26	2680.621677
27	2657.995629
28	2634.1759
29	2616.469878
30	2594.274814
31	2577.671571
32	2556.531679
33	2543.064826
34	2527.15154
35	2514.413211
36	2494.261269
37	2474.453503
38	2457.833065
39	2444.285616
40	2432.973883
41	2422.696529
42	2414.590418
43	2405.14529
44	2389.088658
45	2380.307243
46	2363.581364
47	2352.912965
48	2347.859954
49	2336.430503
50	2332.306462
51	2319.8955
52	2311.755188
53	2302.119505
54	2298.629381
55	2294.801929
56	2286.199197
57	2281.721377
58	2276.726476
59	2265.986928
60	2256.670787
61	2252.377254
62	2245.482358
63	2238.757171
64	2233.856725
65	2229.865572
66	2221.730137
67	2215.18299
68	2209.119911
69	2203.891778
70	2201.016524
71	2198.490321
72	2194.263985
73	2190.001414
74	2185.927624
75	2183.53385
76	2177.396136
77	2172.659766
78	2167.681244
79	2164.65542
80	2161.199566
81	2157.793105
82	2151.008188
83	2148.437765
84	2140.727538
85	2138.269367
86	2133.361129
87	2130.326934
88	2126.713734
89	2124.700215
90	2120.588407
91	2118.997481
92	2115.757532
93	2111.753425
94	2109.474983
95	2105.983835
96	2102.433408
97	2097.547932
98	2095.029645
99	2093.174264
100	2088.579152
101	2086.87983
102	2082.827032
103	2078.649143
104	2076.376702
105	2072.368846
106	2070.31594
107	2066.779955
108	2064.121433
109	2059.947948
110	2056.711741
111	2052.947974
112	2048.698462
113	2045.437305
114	2042.604964
115	2040.90209
116	2037.497711
117	2033.691024
118	2030.775
119	2029.467172
120	2023.626776
121	2020.182921
122	2017.359799
123	2014.908571
124	2012.144813
125	2009.146793
126	2008.946538
127	2006.739497
128	2004.19746
129	2002.238921
130	2000.96976
131	1999.988552
132	1998.182348
133	1995.929046
134	1993.650199
135	1991.968366
136	1990.839562
137	1989.346674
138	1986.712751
139	1985.031482
140	1983.925643
141	1982.689743
142	1981.153995
143	1979.350038
144	1977.591944
145	1974.559026
146	1971.73585
147	1968.765311
148	1966.945379
149	1964.006208
150	1962.182693
151	1960.116051
152	1959.068896
153	1958.420734
154	1956.877277
155	1955.836543
156	1954.975426
157	1953.370396
158	1951.51785
159	1950.308597
160	1949.427696
161	1946.990079
162	1944.281141
163	1941.247795
164	1939.308075
165	1938.270309
166	1935.016491
167	1933.309713
168	1930.548881
169	1929.242123
170	1927.500089
171	1924.540414
172	1921.869268
173	1919.539228
174	1917.327301
175	1914.239361
176	1913.290639
177	1911.850978
178	1909.475196
179	1908.77181
180	1907.179403
181	1906.122046
182	1904.424845
183	1902.533981
184	1900.667875
185	1898.835028
186	1898.00849
187	1896.45929
188	1895.210806
189	1892.277878
190	1891.165318
191	1889.340802
192	1888.907253
193	1888.118502
194	1887.364364
195	1886.651352
196	1884.168116
197	1883.511493
198	1881.914978
199	1880.194414
200	1879.580635
201	1879.34467
202	1877.119627
203	1876.386118
204	1875.951172
205	1875.325968
206	1874.549954
207	1873.822275
208	1873.504023
209	1871.785693
210	1871.646648
211	1871.486232
212	1870.37093
213	1868.984758
214	1867.842763
215	1867.586951
216	1866.147466
217	1865.804584
218	1864.336644
219	1862.4622
220	1861.008697
221	1860.067686
222	1859.968443
223	1859.803823
224	1859.456177
225	1859.296358
226	1857.696316
227	1857.593166
228	1856.117173
229	1854.661471
230	1852.847375
231	1852.749679
232	1852.704846
233	1852.233583
234	1852.191915
235	1849.840088
236	1848.099113
237	1848.037062
238	1846.695669
239	1845.047812
240	1844.894764
241	1843.609273
242	1843.570312
243	1841.595766
244	1840.044003
245	1836.860824
246	1835.405937
247	1833.948258
248	1831.870622
249	1830.167039
250	1828.896866
251	1828.860268
252	1826.33987
253	1826.128569
254	1824.362582
255	1821.853509
256	1820.032244
257	1819.944924
258	1818.230842
259	1816.777961
260	1814.844282
261	1814.812952
262	1813.308081
263	1810.950991
264	1809.501643
265	1808.3638
266	1806.907796
267	1806.404878
268	1806.328976
269	1805.162687
270	1803.671691
271	1803.641907
272	1803.613519
273	1801.697036
274	1800.378328
275	1798.918884
276	1798.797645
277	1797.147391
278	1795.997435
279	1795.005318
280	1793.741047
281	1792.393478
282	1792.223956
283	1792.167121
284	1792.014324
285	1790.661728
286	1789.354914
287	1787.969137
288	1785.98701
289	1784.605859
290	1782.654521
291	1781.58795
292	1780.534046
293	1780.475382
294	1780.452503
295	1780.43722
296	1778.603923
297	1778.589128
298	1777.266896
299	1775.896946
300	1774.146263
301	1772.095278
302	1770.632129
303	1770.603569
304	1769.279656
305	1767.26877
306	1767.25489
307	1765.840184
308	1764.11467
309	1762.080123
310	1760.758837
311	1759.650153
312	1758.526746
313	1757.296694
314	1757.130243
315	1755.779515
316	1755.485541
317	1754.145632
318	1752.961803
319	1752.161609
320	1752.010994
321	1750.464064
322	1750.134063
323	1748.667634
324	1748.001183
325	1745.530486
326	1745.402538
327	1744.412809
328	1741.468548
329	1740.918525
330	1739.451506
331	1739.242241
332	1739.089726
333	1738.22664
334	1738.143492
335	1737.428131
336	1736.283573
337	1736.05908
338	1734.836425
339	1734.132667
340	1733.893931
341	1732.972633
342	1732.03981
343	1730.548921
344	1727.964607
345	1727.600828
346	1726.210162
347	1725.209263
348	1724.339979
349	1722.832134
350	1721.958602
351	1721.42852
352	1720.299035
353	1718.719584
354	1717.498279
355	1716.964868
356	1716.108219
357	1715.047395
358	1713.88098
359	1713.010852
360	1711.613955
361	1711.603283
362	1711.173998
363	1710.228863
364	1709.56467
365	1709.465543
366	1708.832632
367	1707.950361
368	1706.858479
369	1706.733678
370	1705.746103
371	1704.903015
372	1704.376513
373	1704.051399
374	1702.991644
375	1702.981738
376	1702.972714
377	1702.38344
378	1700.390649
379	1699.92491
380	1699.216808
381	1698.337316
382	1697.766593
383	1697.234107
384	1696.007339
385	1694.842748
386	1693.300432
387	1692.252879
388	1691.543067
389	1690.74676
390	1688.707511
391	1688.174293
392	1686.936781
393	1686.722907
394	1685.505279
395	1684.047439
396	1683.643443
397	1682.33889
398	1681.073643
399	1680.085338
400	1680.076523
401	1679.238289
402	1678.151725
403	1677.70981
404	1677.703074
405	1676.749307
406	1676.026686
407	1674.967161
408	1674.725993
409	1674.366711
410	1673.88611
411	1673.155284
412	1672.398547
413	1671.663704
414	1671.594725
415	1670.704213
416	1670.698087
417	1668.730929
418	1668.722912
419	1667.844029
420	1666.395718
421	1666.390021
422	1665.405199
423	1664.954252
424	1664.026564
425	1662.792463
426	1662.246345
427	1661.032807
428	1660.454555
429	1659.53159
430	1658.678672
431	1658.242641
432	1657.775254
433	1656.971944
434	1656.288869
435	1655.380554
436	1654.645456
437	1653.777222
438	1652.92103
439	1652.284673
440	1651.649515
441	1650.809858
442	1649.082154
443	1647.778018
444	1647.125839
445	1646.346306
446	1645.506013
447	1644.857387
448	1644.191968
449	1644.186234
450	1643.026804
451	1641.833577
452	1641.099967
453	1640.138851
454	1639.388345
455	1639.153612
456	1638.278411
457	1637.281993
458	1636.69919
459	1635.996547
460	1634.850563
461	1634.8436
462	1633.980859
463	1632.821789
464	1632.816649
465	1631.950524
466	1631.417227
467	1630.400688
468	1629.416956
469	1628.876586
470	1628.049874
471	1627.173032
472	1627.16749
473	1627.160838
474	1626.254882
475	1625.671513
476	1625.134281
477	1624.607434
478	1623.544613
479	1623.031949
480	1623.025644
481	1622.077549
482	1621.72636
483	1621.123265
484	1620.471312
485	1619.554237
486	1619.490718
487	1618.710118
488	1618.295114
489	1617.700613
490	1616.817176
491	1615.952321
492	1615.068527
493	1614.325991
494	1613.668168
495	1612.622358
496	1612.124602
497	1611.590273
