iter	Passed	Remaining
0	84	84092
1	86	43396
2	89	29664
3	92	23069
4	95	18929
5	97	16154
6	100	14233
7	102	12743
8	105	11590
9	107	10637
10	109	9877
11	111	9197
12	113	8630
13	115	8127
14	117	7712
15	119	7368
16	122	7069
17	124	6784
18	127	6559
19	129	6327
20	131	6116
21	133	5916
22	135	5739
23	136	5567
24	139	5422
25	141	5284
26	143	5158
27	145	5052
28	147	4936
29	149	4821
30	151	4722
31	152	4626
32	154	4534
33	156	4449
34	158	4372
35	160	4295
36	162	4230
37	164	4164
38	166	4097
39	168	4043
40	170	3982
41	172	3924
42	174	3879
43	176	3825
44	177	3774
45	179	3728
46	181	3685
47	183	3640
48	185	3599
49	187	3563
50	189	3522
51	191	3486
52	193	3455
53	195	3420
54	197	3386
55	199	3359
56	201	3327
57	203	3302
58	205	3274
59	207	3246
60	209	3222
61	211	3196
62	213	3168
63	215	3146
64	217	3134
65	219	3112
66	222	3094
67	224	3071
68	225	3047
69	228	3029
70	229	3008
71	232	2992
72	234	2972
73	236	2954
74	237	2934
75	240	2918
76	242	2901
77	244	2885
78	246	2870
79	248	2852
80	250	2837
81	252	2825
82	254	2809
83	255	2791
84	258	2777
85	259	2761
86	261	2747
87	264	2736
88	266	2722
89	268	2711
90	271	2707
91	273	2696
92	275	2685
93	277	2674
94	279	2664
95	281	2654
96	283	2642
97	286	2633
98	288	2623
99	290	2612
100	292	2604
101	295	2597
102	297	2589
103	299	2581
104	304	2593
105	306	2588
106	308	2578
107	311	2569
108	313	2560
109	315	2553
110	317	2543
111	319	2535
112	321	2527
113	324	2519
114	326	2510
115	328	2501
116	330	2495
117	332	2487
118	334	2478
119	336	2470
120	338	2462
121	340	2453
122	343	2446
123	345	2438
124	347	2432
125	349	2423
126	350	2412
127	352	2404
128	355	2398
129	357	2390
130	359	2385
131	361	2378
132	363	2371
133	365	2365
134	368	2358
135	369	2350
136	372	2346
137	374	2339
138	376	2332
139	378	2326
140	380	2318
141	382	2311
142	384	2305
143	386	2297
144	388	2291
145	391	2287
146	393	2282
147	395	2275
148	397	2270
149	399	2265
150	402	2260
151	404	2254
152	406	2247
153	408	2242
154	410	2236
155	412	2230
156	414	2226
157	416	2219
158	418	2212
159	420	2207
160	422	2200
161	424	2195
162	427	2193
163	429	2189
164	431	2184
165	433	2179
166	435	2173
167	437	2168
168	439	2163
169	442	2158
170	444	2153
171	446	2148
172	448	2144
173	450	2140
174	452	2135
175	454	2129
176	457	2126
177	459	2121
178	461	2118
179	463	2113
180	465	2106
181	467	2101
182	470	2099
183	472	2096
184	475	2092
185	476	2086
186	478	2080
187	481	2078
188	483	2073
189	485	2067
190	487	2064
191	489	2060
192	491	2054
193	493	2051
194	495	2046
195	497	2041
196	499	2037
197	501	2032
198	503	2027
199	505	2023
200	507	2017
201	509	2012
202	511	2008
203	513	2003
204	515	1998
205	517	1994
206	519	1989
207	521	1984
208	523	1980
209	525	1975
210	526	1970
211	528	1966
212	530	1961
213	532	1957
214	535	1954
215	537	1949
216	539	1945
217	541	1942
218	543	1938
219	546	1936
220	548	1932
221	550	1927
222	552	1923
223	554	1919
224	555	1914
225	558	1911
226	560	1907
227	562	1903
228	564	1899
229	566	1895
230	568	1891
231	570	1887
232	572	1883
233	573	1878
234	575	1873
235	577	1870
236	579	1865
237	581	1862
238	583	1859
239	585	1854
240	587	1850
241	589	1847
242	591	1842
243	594	1840
244	596	1837
245	598	1834
246	601	1832
247	603	1828
248	605	1825
249	607	1822
250	609	1819
251	611	1815
252	614	1813
253	615	1809
254	617	1805
255	619	1801
256	621	1797
257	624	1794
