iter	Passed	Remaining
0	150	150018
1	152	75973
2	153	51158
3	155	38839
4	157	31352
5	159	26429
6	161	22873
7	163	20228
8	164	18155
9	166	16495
10	168	15128
11	169	13996
12	171	13022
13	173	12212
14	175	11512
15	177	10896
16	179	10374
17	181	9897
18	183	9479
19	185	9088
20	187	8726
21	189	8406
22	190	8107
23	192	7831
24	194	7584
25	196	7357
26	198	7141
27	200	6943
28	201	6757
29	203	6589
30	205	6434
31	207	6278
32	209	6136
33	211	6019
34	214	5904
35	216	5792
36	218	5694
37	220	5594
38	223	5507
39	225	5415
40	227	5325
41	229	5240
42	231	5156
43	233	5080
44	236	5013
45	237	4934
46	239	4865
47	241	4796
48	243	4730
49	245	4667
50	247	4604
51	249	4547
52	251	4487
53	252	4427
54	254	4376
55	256	4328
56	258	4280
57	260	4229
58	262	4180
59	264	4136
60	265	4092
61	267	4054
62	269	4015
63	271	3972
64	273	3933
65	275	3898
66	277	3860
67	279	3824
68	280	3790
69	282	3756
70	284	3723
71	286	3691
72	288	3658
73	289	3625
74	291	3596
75	293	3570
76	295	3541
77	297	3516
78	299	3489
79	301	3462
80	302	3433
81	304	3409
82	306	3386
83	308	3363
84	310	3341
85	312	3317
86	313	3294
87	315	3271
88	317	3251
89	319	3233
90	321	3214
91	323	3196
92	325	3176
93	327	3156
94	329	3137
95	331	3120
96	333	3104
97	335	3085
98	337	3067
99	340	3068
100	342	3050
101	344	3036
102	346	3019
103	348	3003
104	350	2988
105	353	2977
106	354	2961
107	356	2948
108	358	2933
109	360	2919
110	362	2905
111	364	2891
112	366	2877
113	368	2861
114	370	2847
115	371	2834
116	374	2822
117	375	2808
118	377	2795
119	379	2780
120	380	2766
121	382	2755
122	384	2742
123	386	2731
124	388	2720
125	390	2707
126	392	2696
127	394	2684
128	395	2672
129	397	2660
130	399	2648
131	401	2637
132	403	2628
133	404	2617
134	406	2607
135	408	2598
136	411	2589
137	413	2580
138	415	2571
139	417	2562
140	418	2551
141	420	2540
142	422	2531
143	424	2523
144	426	2513
145	428	2505
146	430	2497
147	432	2489
148	434	2481
149	436	2471
150	437	2461
151	439	2454
152	441	2445
153	443	2436
154	445	2429
155	447	2423
156	450	2416
157	452	2408
158	454	2401
159	455	2393
160	457	2385
161	459	2378
162	462	2373
163	464	2365
164	465	2357
165	467	2351
166	469	2342
167	471	2336
168	473	2329
169	475	2323
170	478	2317
171	479	2309
172	481	2302
173	483	2296
174	485	2290
175	488	2285
176	489	2277
177	491	2270
178	493	2264
179	495	2258
180	497	2250
181	499	2243
182	500	2236
183	502	2230
184	504	2223
185	506	2216
186	508	2208
187	509	2202
188	511	2195
189	513	2190
190	515	2182
191	517	2175
192	518	2169
193	520	2163
194	522	2157
195	524	2151
196	526	2145
197	528	2138
198	530	2134
199	532	2128
200	533	2121
201	535	2114
202	537	2108
203	538	2102
204	540	2096
205	542	2090
206	543	2083
207	545	2078
208	547	2073
209	549	2067
210	551	2062
211	553	2057
212	555	2051
213	556	2045
214	558	2039
215	560	2034
216	562	2029
217	564	2023
218	565	2017
219	567	2012
220	569	2007
221	571	2002
222	572	1996
223	574	1991
224	576	1987
225	578	1982
226	580	1977
227	582	1972
228	584	1967
229	585	1961
230	587	1956
231	589	1951
232	591	1946
233	593	1941
234	594	1936
235	596	1932
236	598	1928
237	600	1922
238	602	1917
239	604	1913
240	605	1908
241	607	1903
242	609	1899
243	611	1895
244	613	1890
245	615	1887
246	617	1883
247	619	1878
248	621	1873
249	623	1869
250	625	1865
251	626	1860
252	628	1855
253	630	1851
254	632	1846
255	633	1842
256	635	1838
257	637	1834
258	639	1829
259	641	1825
260	643	1821
261	645	1816
262	646	1812
263	648	1808
264	650	1804
265	652	1799
266	654	1796
267	655	1791
268	657	1787
269	659	1783
270	661	1779
271	663	1776
272	665	1772
273	667	1768
274	669	1764
275	670	1760
276	672	1756
277	674	1751
278	676	1747
279	678	1743
280	679	1739
281	681	1736
282	683	1732
283	685	1728
284	687	1724
285	689	1720
286	690	1715
287	692	1711
288	694	1708
289	696	1704
290	697	1699
291	699	1695
292	700	1691
293	702	1687
294	704	1683
295	706	1679
296	707	1674
297	709	1670
298	710	1666
299	712	1663
300	714	1659
301	716	1655
302	718	1652
303	720	1648
304	721	1644
305	723	1640
306	725	1636
307	726	1633
308	728	1629
309	730	1626
310	732	1622
311	733	1617
312	735	1613
313	736	1610
314	738	1606
315	740	1602
316	741	1598
317	743	1594
318	745	1590
319	746	1586
320	748	1582
321	749	1578
322	751	1574
323	752	1570
324	754	1566
325	756	1563
326	758	1560
327	759	1556
328	761	1552
329	762	1549
330	764	1545
331	766	1541
332	767	1537
333	769	1534
334	771	1530
335	773	1527
336	775	1524
337	776	1521
338	778	1517
339	780	1515
340	782	1511
341	783	1508
342	785	1504
343	787	1501
344	789	1499
345	791	1496
346	793	1493
347	795	1490
348	797	1486
349	798	1483
350	800	1480
351	802	1477
352	804	1473
353	805	1470
354	807	1467
355	809	1463
356	810	1460
357	812	1457
358	814	1453
359	815	1450
360	817	1446
361	818	1443
362	820	1439
363	822	1436
364	823	1433
365	825	1430
366	827	1427
367	829	1424
368	831	1421
369	833	1418
370	834	1415
371	836	1411
372	838	1408
373	840	1406
374	841	1403
375	843	1399
376	845	1396
377	847	1394
378	848	1390
379	850	1387
380	852	1385
381	854	1382
382	856	1379
383	857	1376
384	859	1372
385	861	1369
386	863	1367
387	864	1363
388	866	1360
389	868	1358
390	870	1355
391	871	1351
392	873	1349
393	875	1346
394	876	1342
395	878	1340
396	880	1337
397	882	1334
398	883	1331
399	885	1328
400	887	1325
401	889	1322
402	890	1319
403	892	1316
404	894	1313
405	896	1311
406	898	1308
407	899	1305
408	901	1302
409	903	1299
410	904	1296
411	906	1293
412	908	1291
413	910	1288
414	912	1285
415	913	1282
416	915	1279
417	916	1276
418	918	1273
419	919	1270
420	921	1267
421	922	1264
422	924	1261
423	926	1258
424	927	1255
425	929	1252
426	930	1249
427	932	1246
428	933	1243
429	935	1240
430	937	1237
431	939	1234
432	940	1232
433	942	1229
434	944	1226
435	945	1223
436	947	1221
437	949	1218
438	950	1215
439	952	1212
440	953	1209
441	955	1206
442	957	1203
443	958	1200
444	960	1197
445	962	1195
446	963	1192
447	965	1189
448	967	1187
449	969	1184
450	970	1181
451	972	1178
452	973	1176
453	975	1173
454	977	1170
455	978	1167
456	980	1165
457	982	1162
458	984	1159
459	985	1156
460	987	1154
461	988	1151
462	990	1148
463	991	1145
464	993	1143
465	995	1140
466	997	1137
467	999	1135
468	1001	1133
469	1002	1130
470	1004	1128
471	1006	1125
472	1008	1123
473	1009	1120
474	1011	1117
475	1013	1115
476	1015	1112
477	1016	1110
478	1018	1107
479	1020	1105
480	1022	1102
481	1023	1100
482	1025	1097
483	1027	1095
484	1028	1092
485	1030	1089
486	1031	1086
487	1033	1084
488	1035	1081
489	1036	1079
490	1038	1076
491	1040	1073
492	1041	1071
493	1043	1068
494	1045	1066
495	1047	1063
496	1048	1061
497	1050	1059
498	1051	1056
499	1053	1053
500	1055	1051
501	1056	1048
502	1058	1045
503	1059	1043
504	1061	1040
505	1063	1037
506	1064	1035
507	1066	1032
508	1067	1030
509	1069	1027
510	1071	1024
511	1072	1022
512	1074	1019
513	1076	1017
514	1077	1015
515	1079	1012
516	1080	1009
517	1082	1007
518	1084	1004
519	1085	1002
520	1087	999
521	1088	996
522	1090	994
523	1091	991
524	1092	988
525	1094	986
526	1095	983
527	1097	980
528	1098	978
529	1100	975
530	1101	973
531	1103	970
532	1104	967
533	1106	965
534	1107	962
535	1108	960
536	1110	957
537	1111	954
538	1113	952
539	1114	949
540	1116	947
541	1117	944
542	1119	941
543	1120	939
544	1121	936
545	1123	934
546	1124	931
547	1126	928
548	1127	926
549	1129	923
550	1130	921
551	1131	918
552	1133	916
553	1134	913
554	1136	911
555	1137	908
556	1139	905
557	1140	903
558	1142	901
559	1143	898
560	1145	896
561	1146	893
562	1148	891
563	1149	888
564	1151	886
565	1152	884
566	1154	881
567	1155	879
568	1157	876
569	1158	874
570	1160	871
571	1161	869
572	1163	866
573	1165	864
574	1166	862
575	1168	859
576	1169	857
577	1171	855
578	1172	852
579	1174	850
580	1176	848
581	1177	845
582	1178	843
583	1180	840
584	1182	838
585	1183	836
586	1185	833
587	1186	831
588	1188	829
589	1190	827
590	1191	824
591	1193	822
592	1195	820
593	1196	817
594	1197	815
595	1199	813
596	1201	810
597	1202	808
598	1203	805
599	1205	803
600	1206	801
601	1208	798
602	1209	796
603	1211	794
604	1212	791
605	1214	789
606	1216	787
607	1217	785
608	1219	782
609	1221	780
610	1223	778
611	1224	776
612	1226	774
613	1227	771
614	1229	769
615	1230	767
616	1232	765
617	1234	763
618	1236	760
619	1237	758
620	1239	756
621	1241	754
622	1242	751
623	1243	749
624	1245	747
625	1246	744
626	1248	742
627	1249	740
628	1251	737
629	1252	735
630	1254	733
631	1256	731
632	1257	729
633	1259	727
634	1260	724
635	1262	722
636	1263	720
637	1265	718
638	1266	715
639	1268	713
640	1269	711
641	1271	708
642	1272	706
643	1274	704
644	1275	701
645	1276	699
646	1278	697
647	1279	695
648	1281	692
649	1282	690
650	1283	688
651	1285	685
652	1286	683
653	1287	681
654	1289	679
655	1290	676
656	1292	674
657	1293	672
658	1295	670
659	1296	667
660	1298	665
661	1299	663
662	1301	661
663	1302	659
664	1303	656
665	1305	654
666	1306	652
667	1308	650
668	1309	647
669	1311	645
670	1312	643
671	1313	641
672	1315	639
673	1316	636
674	1318	634
675	1319	632
676	1320	630
677	1322	628
678	1323	625
679	1325	623
680	1326	621
681	1327	619
682	1329	616
683	1330	614
684	1332	612
685	1333	610
686	1335	608
687	1336	606
688	1337	603
689	1339	601
690	1340	599
691	1342	597
692	1343	595
693	1344	592
694	1346	590
695	1347	588
696	1349	586
697	1350	584
698	1352	582
699	1353	580
700	1355	578
701	1356	575
702	1358	573
703	1359	571
704	1361	569
705	1362	567
706	1364	565
707	1365	563
708	1367	561
709	1368	559
710	1370	557
711	1372	555
712	1373	552
713	1375	550
714	1376	548
715	1378	546
716	1380	544
717	1382	542
718	1383	540
719	1385	538
720	1386	536
721	1388	534
722	1389	532
723	1391	530
724	1393	528
725	1394	526
726	1395	524
727	1397	522
728	1398	519
729	1400	517
730	1401	515
731	1403	513
732	1404	511
733	1406	509
734	1407	507
735	1409	505
736	1410	503
737	1412	501
738	1414	499
739	1415	497
740	1417	495
741	1418	493
742	1420	491
743	1422	489
744	1423	487
745	1425	485
746	1426	483
747	1428	481
748	1429	479
749	1430	476
750	1432	474
751	1433	472
752	1435	470
753	1437	468
754	1438	466
755	1440	464
756	1441	462
757	1443	460
758	1444	458
759	1446	456
760	1447	454
761	1449	452
762	1450	450
763	1452	448
764	1453	446
765	1455	444
766	1456	442
767	1457	440
768	1459	438
769	1460	436
770	1462	434
771	1463	432
772	1465	430
773	1466	428
774	1468	426
775	1469	424
776	1471	422
777	1472	420
778	1474	418
779	1475	416
780	1477	414
781	1478	412
782	1480	410
783	1481	408
784	1483	406
785	1484	404
786	1485	402
787	1487	400
788	1488	398
789	1490	396
790	1491	394
791	1493	392
792	1494	390
793	1495	388
794	1497	386
795	1498	384
796	1499	382
797	1501	380
798	1502	378
799	1504	376
800	1505	374
801	1507	372
802	1508	370
803	1509	368
804	1511	366
805	1512	364
806	1514	362
807	1515	360
808	1517	358
809	1518	356
810	1520	354
811	1521	352
812	1523	350
813	1524	348
814	1526	346
815	1527	344
816	1529	342
817	1530	340
818	1531	338
819	1532	336
820	1534	334
821	1535	332
822	1537	330
823	1538	328
824	1540	326
825	1541	324
826	1543	322
827	1544	320
828	1546	318
829	1547	317
830	1549	315
831	1551	313
832	1552	311
833	1554	309
834	1555	307
835	1557	305
836	1559	303
837	1560	301
838	1562	299
839	1563	297
840	1565	295
841	1567	294
842	1568	292
843	1570	290
844	1571	288
845	1573	286
846	1574	284
847	1576	282
848	1578	280
849	1579	278
850	1581	276
851	1582	274
852	1584	273
853	1585	271
854	1587	269
855	1589	267
856	1591	265
857	1592	263
858	1594	261
859	1595	259
860	1597	257
861	1599	256
862	1600	254
863	1602	252
864	1603	250
865	1605	248
866	1607	246
867	1608	244
868	1610	242
869	1612	240
870	1613	238
871	1615	237
872	1616	235
873	1618	233
874	1619	231
875	1621	229
876	1622	227
877	1623	225
878	1625	223
879	1626	221
880	1628	219
881	1630	218
882	1631	216
883	1632	214
884	1634	212
885	1636	210
886	1638	208
887	1639	206
888	1641	204
889	1642	203
890	1644	201
891	1645	199
892	1647	197
893	1648	195
894	1650	193
895	1651	191
896	1653	189
897	1654	187
898	1656	186
899	1657	184
900	1659	182
901	1661	180
902	1662	178
903	1664	176
904	1665	174
905	1667	172
906	1668	171
907	1670	169
908	1671	167
909	1672	165
910	1674	163
911	1675	161
912	1677	159
913	1678	157
914	1680	156
915	1681	154
916	1683	152
917	1684	150
918	1685	148
919	1687	146
920	1688	144
921	1690	142
922	1691	141
923	1692	139
924	1694	137
925	1695	135
926	1697	133
927	1698	131
928	1699	129
929	1701	128
930	1702	126
931	1704	124
932	1705	122
933	1707	120
934	1708	118
935	1710	116
936	1711	115
937	1713	113
938	1714	111
939	1716	109
940	1717	107
941	1719	105
942	1720	103
943	1721	102
944	1723	100
945	1724	98
946	1726	96
947	1727	94
948	1729	92
949	1730	91
950	1732	89
951	1733	87
952	1735	85
953	1736	83
954	1738	81
955	1739	80
956	1740	78
957	1742	76
958	1743	74
959	1745	72
960	1747	70
961	1748	69
962	1750	67
963	1751	65
964	1753	63
965	1754	61
966	1756	59
967	1757	58
968	1759	56
969	1761	54
970	1762	52
971	1763	50
972	1765	48
973	1766	47
974	1768	45
975	1769	43
976	1771	41
977	1773	39
978	1774	38
979	1775	36
980	1777	34
981	1779	32
982	1781	30
983	1782	28
984	1784	27
985	1785	25
986	1787	23
987	1788	21
988	1790	19
989	1792	18
990	1793	16
991	1795	14
992	1796	12
993	1798	10
994	1799	9
995	1801	7
996	1802	5
997	1804	3
998	1805	1
999	1807	0
